Control Number,Account Name,District,Street,Connection Type,Connection Status,Last Reading,2019_DEC,2020_JAN,2020_FEB,2020_MAR,2020_APR,2020_MAY,2020_JUN,2020_JUL,2020_AUG,2020_SEP,2020_OCT,2020_NOV,2020_DEC,2022_JAN,2022_FEB,2022_MAR,2022_APR,2022_MAY,2022_JUN,2022_JUL,2022_AUG,2022_SEP,2022_OCT,2022_NOV,2022_DEC,2023_JAN,2023_FEB,2023_MAR,2023_APR,2023_MAY,2023_JUN,2023_JUL,2023_AUG,2023_SEP,2023_OCT,2023_NOV,2023_DEC,2024_JAN,2024_FEB,2024_MAR,2024_APR,2024_MAY,2024_JUN,2024_JUL,2024_AUG,2024_SEP,2024_OCT,2024_NOV,2024_DEC,2025_JAN,2025_FEB,2025_MAR,2025_APR,2025_MAY
0,Kho Shipping Lines,,Bailon Street,,Unknown,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,0.0,,,,,,,,,
121,"Almodal, Maricel",District 2,Esparrago Street,Residential,Disconnected,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
50964,"Esparraguerra, Irish",District 2,Fabmar Street,Residential,Unknown,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,6.0,,,,,,,,,,
500001,"Encinares, Roberto",District 4,Esparrago Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500002,"Pareja, Myrna",District 4,Esparrago Street,Residential,Active,153.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,13.0,5.0,18.0,10.0,0.0,35.0,0.0,33.0,33.0,19.0,16.0,13.0,21.0,10.0,0.0,15.0,7.0,22.0,68.0,53.0,,,30.0,30.0,,,,,18.0,,0.0,0.0,,0.0,20.0,,0.0,0.0,0.0,0.0,153.0
500003,"Bagobe, Penelope",District 4,Esparrago Street,Residential,Active,25.0,,,,,,,,1.0,2.0,4.0,0.0,35.0,,122.0,42.0,20.0,37.0,24.0,26.0,0.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46.0,,,103.0,103.0,,,,,6.0,,10.0,10.0,,5.0,20.0,,20.0,20.0,22.0,21.0,25.0
500004,"Cerillo, Lea",District 4,Esparrago Street,Residential,Active,39.0,,,,,,,,82.0,0.0,0.0,24.0,36.0,,20.0,22.0,26.0,13.0,23.0,27.0,0.0,44.0,44.0,19.0,25.0,18.0,25.0,11.0,0.0,22.0,25.0,17.0,23.0,53.0,,,30.0,30.0,,,,,14.0,,13.0,17.0,,33.0,30.0,,31.0,36.0,35.0,45.0,39.0
500005,"Bartolata, Ruel",District 4,Esparrago Street,Residential,Active,13.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,,2.0,4.0,4.0,1.0,2.0,3.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,13.0,12.0,,24.0,19.0,,19.0,10.0,14.0,21.0,13.0
500006,"Dejucos, Mercy",District 4,Esparrago Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500007,"Cabiles, Nita",District 4,Esparrago Street,Residential,Disconnected,0.0,,,,,,,,5.0,10.0,6.0,7.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,,,107.0,106.0,,,,,18.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500008,"Genova, Erlinda",District 2,Alicante Street,Residential,Active,23.0,,,,,,,,9.0,12.0,9.0,19.0,6.0,,16.0,18.0,12.0,23.0,0.0,12.0,0.0,33.0,33.0,17.0,14.0,19.0,19.0,9.0,0.0,9.0,13.0,19.0,18.0,29.0,,,19.0,18.0,,,,,13.0,,12.0,15.0,,11.0,16.0,,18.0,15.0,11.0,0.0,23.0
500009,"Barruga, Expedito",District 4,Alicante Street,Residential,Active,23.0,,,,,,,,2.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,27.0,,,0.0,0.0,,,,,38.0,,28.0,84.0,,0.0,143.0,,0.0,154.0,55.0,57.0,23.0
500010,"Jardin, Eden",District 4,Alicante Street,Residential,Active,9.0,,,,,,,,7.0,6.0,4.0,5.0,4.0,,12.0,11.0,9.0,14.0,0.0,11.0,0.0,24.0,23.0,11.0,9.0,18.0,7.0,8.0,0.0,10.0,12.0,11.0,12.0,20.0,,,19.0,18.0,,,,,8.0,,12.0,11.0,,8.0,12.0,,12.0,17.0,17.0,12.0,9.0
500011,"Rico, Esperanza",District 2,Alicante Street,Residential,Active,4.0,,,,,,,,13.0,15.0,8.0,16.0,6.0,,17.0,2.0,0.0,23.0,0.0,18.0,0.0,28.0,27.0,7.0,9.0,5.0,10.0,11.0,0.0,6.0,35.0,17.0,0.0,21.0,,,12.0,11.0,,,,,3.0,,5.0,2.0,,1.0,4.0,,2.0,2.0,2.0,2.0,4.0
