Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
SEP,2020,Q3,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",298.0,306,298.0,306.0,8,Corrected,Active
SEP,2020,Q3,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3103.0,3110,3103.0,3110.0,7,Corrected,Active
SEP,2020,Q3,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",652.0,671,652.0,671.0,19,Corrected,Active
SEP,2020,Q3,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",224.0,255,224.0,255.0,31,Corrected,Active
SEP,2020,Q3,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",3451.0,3480,3451.0,3480.0,29,Corrected,Active
SEP,2020,Q3,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
SEP,2020,Q3,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",5476.0,5531,5476.0,5531.0,55,Corrected,Active
SEP,2020,Q3,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",255.0,278,255.0,278.0,23,Corrected,Active
SEP,2020,Q3,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
SEP,2020,Q3,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",2041.0,2066,2041.0,2066.0,25,Corrected,Active
SEP,2020,Q3,District 3,Alicante Street,500544,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Disconnected
SEP,2020,Q3,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3227.0,3227,3227.0,3227.0,0,Corrected,Active
SEP,2020,Q3,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",299.0,308,299.0,308.0,9,Corrected,Active
SEP,2020,Q3,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",218.0,221,218.0,221.0,3,Corrected,Active
SEP,2020,Q3,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",650.0,658,650.0,658.0,8,Corrected,Active
SEP,2020,Q3,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",527.0,539,527.0,539.0,12,Corrected,Active
