Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
APR,2022,Q2,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",508.0,523.0,508.0,523.0,15,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3242.0,3262.0,3242.0,3262.0,20,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1240.0,1309.0,1240.0,1309.0,69,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",119.0,138.0,119.0,138.0,19,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",828.0,852.0,828.0,852.0,24,Corrected,Active
APR,2022,Q2,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",3767.0,3785.0,3767.0,3785.0,18,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6389.0,6468.0,6389.0,6468.0,79,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",776.0,792.0,776.0,792.0,16,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1086.0,1104.0,1086.0,1104.0,18,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
APR,2022,Q2,District 3,Alicante Street,500544,Residential,"Alicante St, Dist. 3",2476.0,,2476.0,2476.0,0,Corrected,Active
APR,2022,Q2,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3258.0,3261.0,3258.0,3261.0,3,Corrected,Active
APR,2022,Q2,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",545.0,568.0,545.0,568.0,23,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",292.0,296.0,292.0,296.0,4,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",849.0,863.0,849.0,863.0,14,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",892.0,922.0,892.0,922.0,30,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7430.0,7446.0,7430.0,7446.0,16,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",,2552.0,2552.0,2552.0,0,Corrected,Defect
APR,2022,Q2,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",772.0,855.0,772.0,855.0,83,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1219.0,1273.0,1219.0,1273.0,54,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",1723.0,1767.0,1723.0,1767.0,44,Corrected,Active
APR,2022,Q2,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",1607.0,1607.0,1607.0,1607.0,0,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3218.0,3218.0,3218.0,3218.0,0,Corrected,Active
APR,2022,Q2,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",251.0,292.0,251.0,292.0,41,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",1196.0,1286.0,1196.0,1286.0,90,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",2080.0,2080.0,2080.0,2080.0,0,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",1475.0,1503.0,1475.0,1503.0,28,Corrected,Active
APR,2022,Q2,District 3,Alicante Street,501393,Commercial,"Alicante St, Dist. 3",1028.0,1067.0,1028.0,1067.0,39,Corrected,Active
APR,2022,Q2,District 3,Alicante Street,501020,Commercial,"Alicante St, Dist. 3",11.0,24.0,11.0,24.0,13,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501732,Residential,"Alicante St, Dist. 2",11.0,24.0,11.0,24.0,13,Corrected,Active
APR,2022,Q2,District 1,Alicante Street,500692,Residential,"Alicante St, Dist. 1",3569.0,3579.0,3569.0,3579.0,10,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500585,Residential,"Alicante St, Dist. 2",910.0,953.0,910.0,953.0,43,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500330,Commercial,"Alicante St, Dist. 2",1197.0,1256.0,1197.0,1256.0,59,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501260,Residential,"Alicante St, Dist. 4",864.0,901.0,864.0,901.0,37,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,501330,Commercial,"Alicante St, Dist. 4",119.0,123.0,119.0,123.0,4,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501167,Residential,"Alicante St, Dist. 2",1705.0,,1705.0,1705.0,0,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500740,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,500278,Residential,"Alicante St, Dist. 2",2365.0,2401.0,2365.0,2401.0,36,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500861,Residential,"Alicante St, Dist. 4",2519.0,2540.0,2519.0,2540.0,21,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501752,Residential,"Alicante St, Dist. 2",145.0,154.0,145.0,154.0,9,Corrected,Active
APR,2022,Q2,District 1,Alicante Street,500940,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 1,Alicante Street,501021,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,500254,Residential,"Alicante St, Dist. 2",1925.0,1931.0,1925.0,1931.0,6,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
APR,2022,Q2,District 2,Alicante Street,500513,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
APR,2022,Q2,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",1285.0,1316.0,1285.0,1316.0,31,Corrected,Active
APR,2022,Q2,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",1590.0,1629.0,1590.0,1629.0,39,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",2519.0,2519.0,2519.0,2519.0,0,Corrected,Active
APR,2022,Q2,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
