Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
AUG,2022,Q3,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",544.0,577.0,544.0,577.0,33,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3274.0,3317.0,3274.0,3317.0,43,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1401.0,1516.0,1401.0,1516.0,115,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",147.0,166.0,147.0,166.0,19,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",894.0,959.0,894.0,959.0,65,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6575.0,6667.0,6575.0,6667.0,92,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",875.0,940.0,875.0,940.0,65,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3264.0,3268.0,3264.0,3268.0,4,Corrected,Active
AUG,2022,Q3,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",302.0,312.0,302.0,312.0,10,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",882.0,909.0,882.0,909.0,27,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",975.0,1030.0,975.0,1030.0,55,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7485.0,7504.0,7485.0,7504.0,19,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",2614.0,2663.0,2614.0,2663.0,49,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",979.0,1130.0,979.0,1130.0,151,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1344.0,1427.0,1344.0,1427.0,83,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",1607.0,1607.0,1607.0,1607.0,0,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3218.0,3218.0,3218.0,3218.0,0,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",321.0,370.0,321.0,370.0,49,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",1445.0,1587.0,1445.0,1587.0,142,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",2080.0,2080.0,2080.0,2080.0,0,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",1549.0,1561.0,1549.0,1561.0,12,Corrected,Active
AUG,2022,Q3,District 3,Alicante Street,501393,Commercial,"Alicante St, Dist. 3",1138.0,1226.0,1138.0,1226.0,88,Corrected,Active
AUG,2022,Q3,District 3,Alicante Street,501020,Commercial,"Alicante St, Dist. 3",41.0,98.0,41.0,98.0,57,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501732,Residential,"Alicante St, Dist. 2",37.0,71.0,37.0,71.0,34,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,500692,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500585,Residential,"Alicante St, Dist. 2",999.0,1038.0,999.0,1038.0,39,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500330,Commercial,"Alicante St, Dist. 2",1343.0,1428.0,1343.0,1428.0,85,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,501260,Residential,"Alicante St, Dist. 4",944.0,1003.0,944.0,1003.0,59,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,501330,Commercial,"Alicante St, Dist. 4",837.0,837.0,837.0,837.0,0,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501167,Residential,"Alicante St, Dist. 2",1778.0,1826.0,1778.0,1826.0,48,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500740,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500278,Residential,"Alicante St, Dist. 2",2458.0,2505.0,2458.0,2505.0,47,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500861,Residential,"Alicante St, Dist. 4",2566.0,2598.0,2566.0,2598.0,32,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501752,Residential,"Alicante St, Dist. 2",172.0,213.0,172.0,213.0,41,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,500940,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 1,Alicante Street,501021,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500254,Residential,"Alicante St, Dist. 2",1932.0,1938.0,1932.0,1938.0,6,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500513,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",1374.0,1431.0,1374.0,1431.0,57,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",1664.0,1713.0,1664.0,1713.0,49,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",2519.0,2519.0,2519.0,2519.0,0,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500405,Residential,"Alicante St, Dist. 2",1645.0,1645.0,1645.0,1645.0,0,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,500782,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500266,Residential,"Alicante St, Dist. 2",2221.0,2248.0,2221.0,2248.0,27,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501731,Residential,"Alicante St, Dist. 2",82.0,97.0,82.0,97.0,15,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500380,Residential,"Alicante St, Dist. 2",1239.0,1250.0,1239.0,1250.0,11,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501329,Residential,"Alicante St, Dist. 2",701.0,734.0,701.0,734.0,33,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500377,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 4,Alicante Street,501812,Residential,"Alicante St, Dist. 4",9.0,22.0,9.0,22.0,13,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501750,Residential,"Alicante St, Dist. 2",325.0,372.0,325.0,372.0,47,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500251,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 4,Alicante Street,500014,Residential,"Alicante St, Dist. 4",3903.0,3936.0,3903.0,3936.0,33,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500262,Residential,"Alicante St, Dist. 2",3094.0,3129.0,3094.0,3129.0,35,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,501676,Residential,"Alicante St, Dist. 2",513.0,540.0,513.0,540.0,27,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500015,Residential,"Alicante St, Dist. 4",1727.0,1735.0,1727.0,1735.0,8,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500249,Residential,"Alicante St, Dist. 2",2026.0,2080.0,2026.0,2080.0,54,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,501129,Residential,"Alicante St, Dist. 1",1368.0,1452.0,1368.0,1452.0,84,Corrected,Active
AUG,2022,Q3,District 4,Alicante Street,500012,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,501411,Residential,"Alicante St, Dist. 2",39.0,39.0,39.0,39.0,0,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,500523,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,501024,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 3,Alicante Street,500316,Residential,"Alicante St, Dist. 3",4188.0,4188.0,4188.0,4188.0,0,Corrected,Active
AUG,2022,Q3,District 2,Alicante Street,500488,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 2,Alicante Street,500987,Residential,"Alicante St, Dist. 2",271.0,297.0,271.0,297.0,26,Corrected,Active
AUG,2022,Q3,District 1,Alicante Street,500357,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
AUG,2022,Q3,District 1,Alicante Street,501105,Residential,"Alicante St, Dist. 1",673.0,721.0,673.0,721.0,48,Corrected,Active
