Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
DEC,2022,Q4,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",622.0,667.0,622.0,667.0,45,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",325.0,329.0,325.0,329.0,4,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3372.0,3409.0,3372.0,3409.0,37,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1678.0,1731.0,1678.0,1731.0,53,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",196.0,206.0,196.0,206.0,10,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",1054.0,1084.0,1054.0,1084.0,30,Corrected,Active
DEC,2022,Q4,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
DEC,2022,Q4,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
DEC,2022,Q4,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",1028.0,1053.0,1028.0,1053.0,25,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6819.0,6857.0,6819.0,6857.0,38,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1159.0,1163.0,1159.0,1163.0,4,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
DEC,2022,Q4,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3273.0,3280.0,3273.0,3280.0,7,Corrected,Active
DEC,2022,Q4,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",745.0,772.0,745.0,772.0,27,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",579.0,599.0,579.0,599.0,20,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",946.0,963.0,946.0,963.0,17,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",1105.0,1123.0,1105.0,1123.0,18,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7522.0,,7522.0,7522.0,0,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",2736.0,2776.0,2736.0,2776.0,40,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",1390.0,1477.0,1390.0,1477.0,87,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1553.0,1594.0,1553.0,1594.0,41,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
DEC,2022,Q4,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
DEC,2022,Q4,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",43.0,63.0,43.0,63.0,20,Corrected,Active
DEC,2022,Q4,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3218.0,3218.0,3218.0,3218.0,0,Corrected,Active
DEC,2022,Q4,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",423.0,437.0,423.0,437.0,14,Corrected,Active
DEC,2022,Q4,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
DEC,2022,Q4,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",2080.0,2080.0,2080.0,2080.0,0,Corrected,Active
