Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
MAR,2022,Q1,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",500.0,508.0,500.0,508.0,8,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3236.0,3242.0,3236.0,3242.0,6,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1212.0,1240.0,1212.0,1240.0,28,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",115.0,119.0,115.0,119.0,4,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",817.0,828.0,817.0,828.0,11,Corrected,Active
MAR,2022,Q1,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",3759.0,3767.0,3759.0,3767.0,8,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
MAR,2022,Q1,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6349.0,6389.0,6349.0,6389.0,40,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",757.0,776.0,757.0,776.0,19,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1086.0,1086.0,1086.0,1086.0,0,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",2461.0,,2461.0,2461.0,0,Corrected,Defect
MAR,2022,Q1,District 3,Alicante Street,500544,Residential,"Alicante St, Dist. 3",2467.0,2476.0,2467.0,2476.0,9,Corrected,Active
MAR,2022,Q1,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3255.0,3258.0,3255.0,3258.0,3,Corrected,Active
MAR,2022,Q1,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",539.0,545.0,539.0,545.0,6,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",290.0,292.0,290.0,292.0,2,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",840.0,849.0,840.0,849.0,9,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",889.0,892.0,889.0,892.0,3,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7421.0,7430.0,7421.0,7430.0,9,Corrected,Active
MAR,2022,Q1,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",2500.0,,2500.0,2500.0,0,Corrected,Defect
MAR,2022,Q1,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",735.0,772.0,735.0,772.0,37,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1195.0,1219.0,1195.0,1219.0,24,Corrected,Active
MAR,2022,Q1,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",1709.0,1723.0,1709.0,1723.0,14,Corrected,Active
MAR,2022,Q1,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAR,2022,Q1,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",1607.0,1607.0,1607.0,1607.0,0,Corrected,Active
