Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
NOV,2022,Q4,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",610.0,622.0,610.0,622.0,12,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",321.0,325.0,321.0,325.0,4,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3359.0,3372.0,3359.0,3372.0,13,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1631.0,1678.0,1631.0,1678.0,47,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",184.0,196.0,184.0,196.0,12,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",1023.0,1054.0,1023.0,1054.0,31,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",1004.0,1028.0,1004.0,1028.0,24,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6759.0,6819.0,6759.0,6819.0,60,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1147.0,1159.0,1147.0,1159.0,12,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
NOV,2022,Q4,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3271.0,3273.0,3271.0,3273.0,2,Corrected,Active
NOV,2022,Q4,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",,745.0,745.0,745.0,0,Corrected,Defect
NOV,2022,Q4,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",564.0,579.0,564.0,579.0,15,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",935.0,946.0,935.0,946.0,11,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",1084.0,1105.0,1084.0,1105.0,21,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7522.0,,7522.0,7522.0,0,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",2711.0,2736.0,2711.0,2736.0,25,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",1280.0,1390.0,1280.0,1390.0,110,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1510.0,1553.0,1510.0,1553.0,43,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
NOV,2022,Q4,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",27.0,43.0,27.0,43.0,16,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3218.0,3218.0,3218.0,3218.0,0,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",419.0,423.0,419.0,423.0,4,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",1729.0,,1729.0,1729.0,0,Corrected,Defect
NOV,2022,Q4,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",2080.0,2080.0,2080.0,2080.0,0,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",1572.0,,1572.0,1572.0,0,Corrected,Defect
NOV,2022,Q4,District 3,Alicante Street,501393,Commercial,"Alicante St, Dist. 3",1314.0,1332.0,1314.0,1332.0,18,Corrected,Active
NOV,2022,Q4,District 3,Alicante Street,501020,Commercial,"Alicante St, Dist. 3",154.0,181.0,154.0,181.0,27,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501732,Residential,"Alicante St, Dist. 2",104.0,114.0,104.0,114.0,10,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,500692,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500585,Residential,"Alicante St, Dist. 2",1076.0,1081.0,1076.0,1081.0,5,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500330,Commercial,"Alicante St, Dist. 2",1512.0,1578.0,1512.0,1578.0,66,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501260,Residential,"Alicante St, Dist. 4",1061.0,1088.0,1061.0,1088.0,27,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501330,Commercial,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
NOV,2022,Q4,District 2,Alicante Street,501167,Residential,"Alicante St, Dist. 2",1873.0,1893.0,1873.0,1893.0,20,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500740,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500278,Residential,"Alicante St, Dist. 2",2552.0,2573.0,2552.0,2573.0,21,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500861,Residential,"Alicante St, Dist. 4",2630.0,2641.0,2630.0,2641.0,11,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501752,Residential,"Alicante St, Dist. 2",254.0,282.0,254.0,282.0,28,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,500940,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 1,Alicante Street,501021,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500254,Residential,"Alicante St, Dist. 2",1943.0,1963.0,1943.0,1963.0,20,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
NOV,2022,Q4,District 2,Alicante Street,500513,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",1487.0,1515.0,1487.0,1515.0,28,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",1762.0,1788.0,1762.0,1788.0,26,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",2519.0,2519.0,2519.0,2519.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500405,Residential,"Alicante St, Dist. 2",1645.0,1645.0,1645.0,1645.0,0,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,500782,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500266,Residential,"Alicante St, Dist. 2",2275.0,2287.0,2275.0,2287.0,12,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501731,Residential,"Alicante St, Dist. 2",112.0,114.0,112.0,114.0,2,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500380,Residential,"Alicante St, Dist. 2",1261.0,1265.0,1261.0,1265.0,4,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501329,Residential,"Alicante St, Dist. 2",766.0,780.0,766.0,780.0,14,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500377,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
NOV,2022,Q4,District 4,Alicante Street,501812,Residential,"Alicante St, Dist. 4",35.0,35.0,35.0,35.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501750,Residential,"Alicante St, Dist. 2",418.0,462.0,418.0,462.0,44,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500251,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 4,Alicante Street,500014,Residential,"Alicante St, Dist. 4",3969.0,3983.0,3969.0,3983.0,14,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500262,Residential,"Alicante St, Dist. 2",3163.0,3181.0,3163.0,3181.0,18,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501676,Residential,"Alicante St, Dist. 2",566.0,575.0,566.0,575.0,9,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501985,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 4,Alicante Street,500015,Residential,"Alicante St, Dist. 4",1743.0,,1743.0,1743.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500249,Residential,"Alicante St, Dist. 2",2133.0,2174.0,2133.0,2174.0,41,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,501129,Residential,"Alicante St, Dist. 1",1535.0,1567.0,1535.0,1567.0,32,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500012,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,501411,Residential,"Alicante St, Dist. 2",39.0,39.0,39.0,39.0,0,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,500523,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,501024,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 3,Alicante Street,500316,Residential,"Alicante St, Dist. 3",4188.0,,4188.0,4188.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500488,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,501992,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 2,Alicante Street,500987,Residential,"Alicante St, Dist. 2",322.0,330.0,322.0,330.0,8,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,500357,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 1,Alicante Street,501105,Residential,"Alicante St, Dist. 1",769.0,807.0,769.0,807.0,38,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500985,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
NOV,2022,Q4,District 4,Alicante Street,501379,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
NOV,2022,Q4,District 2,Alicante Street,500340,Residential,"Alicante St, Dist. 2",4303.0,4314.0,4303.0,4314.0,11,Corrected,Active
NOV,2022,Q4,District 3,Alicante Street,500544,Residential,"Alicante St, Dist. 3",2522.0,,2522.0,2522.0,0,Corrected,Active
NOV,2022,Q4,District 3,Alicante Street,500552,Residential,"Alicante St, Dist. 3",4187.0,4207.0,4187.0,4207.0,20,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500264,Residential,"Alicante St, Dist. 2",657.0,661.0,657.0,661.0,4,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500905,Residential,"Alicante St, Dist. 2",2826.0,2826.0,2826.0,2826.0,0,Corrected,Active
NOV,2022,Q4,District 3,Alicante Street,500146,Residential,"Alicante St, Dist. 3",6263.0,6276.0,6263.0,6276.0,13,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500563,Residential,"Alicante St, Dist. 2",2739.0,2739.0,2739.0,2739.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500537,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500564,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,501558,Commercial,"Alicante St, Dist. 2",10.0,10.0,10.0,10.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501690,Residential,"Alicante St, Dist. 2",510.0,510.0,510.0,510.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501332,Residential,"Alicante St, Dist. 2",2160.0,2187.0,2160.0,2187.0,27,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500711,Residential,"Alicante St, Dist. 2",1216.0,1239.0,1216.0,1239.0,23,Corrected,Active
NOV,2022,Q4,District 1,Alicante Street,501025,Residential,"Alicante St, Dist. 1",928.0,957.0,928.0,957.0,29,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,501023,Residential,"Alicante St, Dist. 4",268.0,276.0,268.0,276.0,8,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,501289,Residential,"Alicante St, Dist. 2",1018.0,1041.0,1018.0,1041.0,23,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500461,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
NOV,2022,Q4,District 2,Alicante Street,500623,Residential,"Alicante St, Dist. 2",819.0,,819.0,819.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500008,Residential,"Alicante St, Dist. 2",2140.0,2154.0,2140.0,2154.0,14,Corrected,Active
NOV,2022,Q4,District 3,Alicante Street,500760,Residential,"Alicante St, Dist. 3",461.0,,461.0,461.0,0,Corrected,Active
NOV,2022,Q4,District 4,Alicante Street,500094,Residential,"Alicante St, Dist. 4",3188.0,,3188.0,3188.0,0,Corrected,Active
NOV,2022,Q4,District 2,Alicante Street,500678,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
