Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
OCT,2022,Q4,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",585.0,610.0,585.0,610.0,25,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",315.0,321.0,315.0,321.0,6,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3327.0,3359.0,3327.0,3359.0,32,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1581.0,1631.0,1581.0,1631.0,50,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",184.0,,184.0,184.0,0,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",983.0,1023.0,983.0,1023.0,40,Corrected,Active
OCT,2022,Q4,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
OCT,2022,Q4,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
OCT,2022,Q4,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",972.0,1004.0,972.0,1004.0,32,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6707.0,6759.0,6707.0,6759.0,52,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1147.0,,1147.0,1147.0,0,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
OCT,2022,Q4,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3268.0,3271.0,3268.0,3271.0,3,Corrected,Active
OCT,2022,Q4,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Defect
OCT,2022,Q4,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",549.0,564.0,549.0,564.0,15,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",924.0,935.0,924.0,935.0,11,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",1056.0,1084.0,1056.0,1084.0,28,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7522.0,,7522.0,7522.0,0,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",2689.0,2711.0,2689.0,2711.0,22,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",1211.0,1280.0,1211.0,1280.0,69,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1465.0,1510.0,1465.0,1510.0,45,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
OCT,2022,Q4,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
OCT,2022,Q4,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Unknown
OCT,2022,Q4,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3218.0,3218.0,3218.0,3218.0,0,Corrected,Active
OCT,2022,Q4,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",396.0,419.0,396.0,419.0,23,Corrected,Active
OCT,2022,Q4,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",1641.0,1729.0,1641.0,1729.0,88,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",2080.0,2080.0,2080.0,2080.0,0,Corrected,Active
OCT,2022,Q4,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",1567.0,1572.0,1567.0,1572.0,5,Corrected,Active
