Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
JUN,2023,Q2,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Defect
JUN,2023,Q2,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",350.0,354.0,350.0,354.0,4,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3432.0,3449.0,3432.0,3449.0,17,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",1930.0,1986.0,1930.0,1986.0,56,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",245.0,258.0,245.0,258.0,13,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",1178.0,1215.0,1178.0,1215.0,37,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",1169.0,1206.0,1169.0,1206.0,37,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",6985.0,7027.0,6985.0,7027.0,42,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1182.0,1191.0,1182.0,1191.0,9,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Defect
JUN,2023,Q2,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3289.0,3289.0,3289.0,3289.0,0,Corrected,Active
JUN,2023,Q2,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",833.0,839.0,833.0,839.0,6,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",651.0,665.0,651.0,665.0,14,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",1009.0,1020.0,1009.0,1020.0,11,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",1200.0,1223.0,1200.0,1223.0,23,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
JUN,2023,Q2,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",1765.0,1781.0,1765.0,1781.0,16,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",1789.0,1812.0,1789.0,1812.0,23,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
JUN,2023,Q2,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",113.0,123.0,113.0,123.0,10,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3219.0,3219.0,3219.0,3219.0,0,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",491.0,501.0,491.0,501.0,10,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",2193.0,2269.0,2193.0,2269.0,76,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",,47.0,47.0,47.0,0,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",1813.0,1831.0,1813.0,1831.0,18,Corrected,Active
JUN,2023,Q2,District 3,Alicante Street,501393,Commercial,"Alicante St, Dist. 3",1392.0,1405.0,1392.0,1405.0,13,Corrected,Active
JUN,2023,Q2,District 3,Alicante Street,501020,Commercial,"Alicante St, Dist. 3",309.0,339.0,309.0,339.0,30,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501732,Residential,"Alicante St, Dist. 2",220.0,235.0,220.0,235.0,15,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,500692,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,500585,Residential,"Alicante St, Dist. 2",1186.0,1221.0,1186.0,1221.0,35,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500330,Commercial,"Alicante St, Dist. 2",1899.0,1967.0,1899.0,1967.0,68,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,501260,Residential,"Alicante St, Dist. 4",1205.0,1237.0,1205.0,1237.0,32,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,501330,Commercial,"Alicante St, Dist. 4",,1341.0,1341.0,1341.0,0,Corrected,Defect
JUN,2023,Q2,District 2,Alicante Street,501167,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
JUN,2023,Q2,District 4,Alicante Street,500740,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,500278,Residential,"Alicante St, Dist. 2",2690.0,2708.0,2690.0,2708.0,18,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500861,Residential,"Alicante St, Dist. 4",2735.0,2750.0,2735.0,2750.0,15,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501752,Residential,"Alicante St, Dist. 2",382.0,389.0,382.0,389.0,7,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,500940,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 1,Alicante Street,501021,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,500254,Residential,"Alicante St, Dist. 2",2049.0,2049.0,2049.0,2049.0,0,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",,9.0,9.0,9.0,0,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500513,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",1657.0,1694.0,1657.0,1694.0,37,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",1899.0,1920.0,1899.0,1920.0,21,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",2519.0,2519.0,2519.0,2519.0,0,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,500405,Residential,"Alicante St, Dist. 2",1645.0,1645.0,1645.0,1645.0,0,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,500782,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,500266,Residential,"Alicante St, Dist. 2",2350.0,2363.0,2350.0,2363.0,13,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501731,Residential,"Alicante St, Dist. 2",160.0,167.0,160.0,167.0,7,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500380,Residential,"Alicante St, Dist. 2",1286.0,1291.0,1286.0,1291.0,5,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501329,Residential,"Alicante St, Dist. 2",847.0,859.0,847.0,859.0,12,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500377,Residential,"Alicante St, Dist. 2",25.0,29.0,25.0,29.0,4,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,501812,Residential,"Alicante St, Dist. 4",100.0,113.0,100.0,113.0,13,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501750,Residential,"Alicante St, Dist. 2",667.0,682.0,667.0,682.0,15,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500251,Residential,"Alicante St, Dist. 2",1719.0,1724.0,1719.0,1724.0,5,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500014,Residential,"Alicante St, Dist. 4",4120.0,4127.0,4120.0,4127.0,7,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500262,Residential,"Alicante St, Dist. 2",3241.0,3280.0,3241.0,3280.0,39,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501676,Residential,"Alicante St, Dist. 2",645.0,651.0,645.0,651.0,6,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,501985,Residential,"Alicante St, Dist. 2",47.0,57.0,47.0,57.0,10,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500015,Residential,"Alicante St, Dist. 4",1820.0,1842.0,1820.0,1842.0,22,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500249,Residential,"Alicante St, Dist. 2",2298.0,2319.0,2298.0,2319.0,21,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,501129,Residential,"Alicante St, Dist. 1",1751.0,1790.0,1751.0,1790.0,39,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,500012,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,501411,Residential,"Alicante St, Dist. 2",39.0,39.0,39.0,39.0,0,Corrected,Active
JUN,2023,Q2,District 1,Alicante Street,500523,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,501024,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 3,Alicante Street,500316,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Defect
JUN,2023,Q2,District 2,Alicante Street,500488,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 2,Alicante Street,501992,Residential,"Alicante St, Dist. 2",44.0,59.0,44.0,59.0,15,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500987,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
JUN,2023,Q2,District 1,Alicante Street,500357,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUN,2023,Q2,District 1,Alicante Street,501105,Residential,"Alicante St, Dist. 1",955.0,974.0,955.0,974.0,19,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500985,Residential,"Alicante St, Dist. 2",1025.0,1041.0,1025.0,1041.0,16,Corrected,Active
JUN,2023,Q2,District 4,Alicante Street,501379,Residential,"Alicante St, Dist. 4",,5.0,5.0,5.0,0,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500340,Residential,"Alicante St, Dist. 2",4418.0,4437.0,4418.0,4437.0,19,Corrected,Active
JUN,2023,Q2,District 3,Alicante Street,500544,Residential,"Alicante St, Dist. 3",2544.0,2560.0,2544.0,2560.0,16,Corrected,Active
JUN,2023,Q2,District 3,Alicante Street,500552,Residential,"Alicante St, Dist. 3",4329.0,4379.0,4329.0,4379.0,50,Corrected,Active
JUN,2023,Q2,District 2,Alicante Street,500264,Residential,"Alicante St, Dist. 2",675.0,694.0,675.0,694.0,19,Corrected,Active
