Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
FEB,2024,Q1,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",797,805,797.0,805.0,8,Corrected,Active
FEB,2024,Q1,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",386,389,386.0,389.0,3,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3565,3572,3565.0,3572.0,7,Corrected,Active
FEB,2024,Q1,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",2412,2459,2412.0,2459.0,47,Corrected,Active
FEB,2024,Q1,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",358,362,358.0,362.0,4,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",1469,1493,1469.0,1493.0,24,Corrected,Active
FEB,2024,Q1,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
FEB,2024,Q1,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
FEB,2024,Q1,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",1468,1495,1468.0,1495.0,27,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",7236,7273,7236.0,7273.0,37,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1273,1287,1273.0,1287.0,14,Corrected,Active
FEB,2024,Q1,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",58,65,58.0,65.0,7,Corrected,Active
FEB,2024,Q1,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3301,3303,3301.0,3303.0,2,Corrected,Active
FEB,2024,Q1,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",923,937,923.0,937.0,14,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",779,792,779.0,792.0,13,Corrected,Active
FEB,2024,Q1,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4", , ,,,0,Corrected,Unknown
FEB,2024,Q1,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",1405,1421,1405.0,1421.0,16,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
FEB,2024,Q1,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
FEB,2024,Q1,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",2405,2486,2405.0,2486.0,81,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",2164,,2164.0,2164.0,0,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",, ,,,0,Corrected,Defect
FEB,2024,Q1,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
FEB,2024,Q1,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",217,229,217.0,229.0,12,Corrected,Active
FEB,2024,Q1,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3219,3219,3219.0,3219.0,0,Corrected,Active
FEB,2024,Q1,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",652,654,652.0,654.0,2,Corrected,Active
FEB,2024,Q1,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",6120,6239,6120.0,6239.0,119,Corrected,Active
