Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
MAY,2024,Q2,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",826,839,826.0,839.0,13,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",393,396,393.0,396.0,3,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3576,3579,3576.0,3579.0,3,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",2543,2597,2543.0,2597.0,54,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,501704,Residential,"Alicante St, Dist. 4",409,418,409.0,418.0,9,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",1579,1602,1579.0,1602.0,23,Corrected,Active
MAY,2024,Q2,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",1563,1601,1563.0,1601.0,38,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",7335,7360,7335.0,7360.0,25,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",1295,1299,1295.0,1299.0,4,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",90,101,90.0,101.0,11,Corrected,Active
MAY,2024,Q2,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3304,3305,3304.0,3305.0,1,Corrected,Active
MAY,2024,Q2,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",966,975,966.0,975.0,9,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",820,831,820.0,831.0,11,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",28,41,28.0,41.0,13,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",1478,1496,1478.0,1496.0,18,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",7970,7991,7970.0,7991.0,21,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",2655,2720,2655.0,2720.0,65,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",2283,2325,2283.0,2325.0,42,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Defect
MAY,2024,Q2,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",259,268,259.0,268.0,9,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3219,3219,3219.0,3219.0,0,Corrected,Active
MAY,2024,Q2,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",657,658,657.0,658.0,1,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",6539,6539,6539.0,6539.0,0,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",544,582,544.0,582.0,38,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",2104,2180,2104.0,2180.0,76,Corrected,Active
MAY,2024,Q2,District 3,Alicante Street,501393,Commercial,"Alicante St, Dist. 3",1519,1525,1519.0,1525.0,6,Corrected,Active
MAY,2024,Q2,District 3,Alicante Street,501020,Commercial,"Alicante St, Dist. 3",533,554,533.0,554.0,21,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501732,Residential,"Alicante St, Dist. 2",482,499,482.0,499.0,17,Corrected,Active
MAY,2024,Q2,District 1,Alicante Street,500692,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,500585,Residential,"Alicante St, Dist. 2",1463,1518,1463.0,1518.0,55,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500330,Commercial,"Alicante St, Dist. 2",2667,2703,2667.0,2703.0,36,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,501260,Residential,"Alicante St, Dist. 4",1634,1655,1634.0,1655.0,21,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,501330,Commercial,"Alicante St, Dist. 4",1343,1343,1343.0,1343.0,0,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501167,Residential,"Alicante St, Dist. 2",2272,2292,2272.0,2292.0,20,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500740,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,500278,Residential,"Alicante St, Dist. 2",2862,2905,2862.0,2905.0,43,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500861,Residential,"Alicante St, Dist. 4",2932,2936,2932.0,2936.0,4,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501752,Residential,"Alicante St, Dist. 2",669,697,669.0,697.0,28,Corrected,Active
MAY,2024,Q2,District 1,Alicante Street,500940,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 1,Alicante Street,501021,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,500254,Residential,"Alicante St, Dist. 2",2189,2190,2189.0,2190.0,1,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",229,244,229.0,244.0,15,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500513,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",2109,2131,2109.0,2131.0,22,Corrected,Active
MAY,2024,Q2,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",2206,2226,2206.0,2226.0,20,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",2579,2579,2579.0,2579.0,0,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,500405,Residential,"Alicante St, Dist. 2",77,82,77.0,82.0,5,Corrected,Active
MAY,2024,Q2,District 1,Alicante Street,500782,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Alicante Street,500266,Residential,"Alicante St, Dist. 2",2480,2489,2480.0,2489.0,9,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501731,Residential,"Alicante St, Dist. 2",304,317,304.0,317.0,13,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,500380,Residential,"Alicante St, Dist. 2",1347,1354,1347.0,1354.0,7,Corrected,Active
MAY,2024,Q2,District 2,Alicante Street,501329,Residential,"Alicante St, Dist. 2",990,1006,990.0,1006.0,16,Corrected,Active
