Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
SEP,2024,Q3,District 3,Altarejos Street,500118,Residential,"Altarejos St, Dist. 3",7661.0,7678.0,7661.0,7678.0,17,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500072,Residential,"Altarejos St, Dist. 3",252.0,254.0,252.0,254.0,2,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500810,Commercial,"Altarejos St, Dist. 3",588.0,597.0,588.0,597.0,9,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501534,Residential,"Altarejos St, Dist. 3",343.0,375.0,343.0,375.0,32,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500447,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Invalid Reading
SEP,2024,Q3,District 3,Altarejos Street,500809,Residential,"Altarejos St, Dist. 3",79.0,86.0,79.0,86.0,7,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500483,Residential,"Altarejos St, Dist. 3",419.0,427.0,419.0,427.0,8,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500443,Residential,"Altarejos St, Dist. 3",2564.0,2566.0,2564.0,2566.0,2,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501474,Residential,"Altarejos St, Dist. 3",23.0,51.0,23.0,51.0,28,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500215,Residential,"Altarejos St, Dist. 3",211.0,233.0,211.0,233.0,22,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500043,Residential,"Altarejos St, Dist. 3",2038.0,2038.0,2038.0,2038.0,0,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501645,Residential,"Altarejos St, Dist. 3",2512.0,2519.0,2512.0,2519.0,7,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500186,Commercial,"Altarejos St, Dist. 3",1138.0,1149.0,1138.0,1149.0,11,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500805,Commercial,"Altarejos St, Dist. 3",4069.0,4085.0,4069.0,4085.0,16,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501717,Commercial,"Altarejos St, Dist. 3",693.0,698.0,693.0,698.0,5,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500741,Residential,"Altarejos St, Dist. 3",369.0,395.0,369.0,395.0,26,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501216,Residential,"Altarejos St, Dist. 3",137.0,153.0,137.0,153.0,16,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501661,Residential,"Altarejos St, Dist. 3",873.0,888.0,873.0,888.0,15,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500258,Residential,"Altarejos St, Dist. 3",2484.0,2504.0,2484.0,2504.0,20,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501494,Industrial,"Altarejos St, Dist. 3",91.0,107.0,91.0,107.0,16,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500551,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Invalid Reading
SEP,2024,Q3,District 3,Altarejos Street,500205,Residential,"Altarejos St, Dist. 3",4239.0,4256.0,4239.0,4256.0,17,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500595,Residential,"Altarejos St, Dist. 3",2374.0,2375.0,2374.0,2375.0,1,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501850,Residential,"Altarejos St, Dist. 3",1068.0,1089.0,1068.0,1089.0,21,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501027,Residential,"Altarejos St, Dist. 3",1705.0,1717.0,1705.0,1717.0,12,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500071,Industrial,"Altarejos St, Dist. 3",19796.0,19796.0,19796.0,19796.0,0,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501415,Residential,"Altarejos St, Dist. 3",244.0,251.0,244.0,251.0,7,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500204,Commercial,"Altarejos St, Dist. 3",1191.0,1206.0,1191.0,1206.0,15,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500070,Residential,"Altarejos St, Dist. 3",3037.0,3040.0,3037.0,3040.0,3,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501419,Residential,"Altarejos St, Dist. 3",1227.0,1301.0,1227.0,1301.0,74,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501089,Residential,"Altarejos St, Dist. 3",5927.0,5950.0,5927.0,5950.0,23,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500200,Residential,"Altarejos St, Dist. 3",2865.0,2877.0,2865.0,2877.0,12,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500888,Residential,"Altarejos St, Dist. 3",459.0,482.0,459.0,482.0,23,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,500144,Residential,"Altarejos St, Dist. 3",1781.0,1795.0,1781.0,1795.0,14,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,501077,Residential,"Altarejos St, Dist. 3",2022.0,2036.0,2022.0,2036.0,14,Corrected,Active
SEP,2024,Q3,District 3,Altarejos Street,502083,Residential,"Altarejos St, Dist. 3",132.0,143.0,132.0,143.0,11,Corrected,Active
